Num_Acc,catv,obs,obsm,choc,manv,num_veh
200900000115,34,0,1,1,17,A01
200900000116,37,0,1,2,7,A01
200900000117,7,0,2,8,2,C01
200900000117,32,0,2,7,2,A01
200900000117,7,0,2,1,2,B01
200900000118,37,0,1,7,7,A01
200900000119,7,0,1,1,16,A01
200900000120,33,9,2,8,1,B01
200900000120,10,0,2,1,15,A01
200900000121,10,6,0,1,1,A01
200900000122,30,0,1,8,1,A01
200900000123,1,12,0,0,0,A01
200900000124,32,1,0,8,13,A01
200900000125,7,0,2,3,1,B01
200900000125,1,0,2,4,1,A01
200900000126,7,6,0,1,1,A01
200900000127,34,0,0,8,1,A01
200900000128,30,0,1,2,5,A01
200900000129,37,0,1,2,0,A01
200900000130,31,0,0,7,1,A01
200900000131,7,0,1,5,16,A01
200900000132,7,1,0,2,14,A01
200900000133,10,0,2,0,12,A01
200900000133,32,0,2,0,3,B01
200900000134,10,0,2,4,23,B01
200900000134,10,0,2,1,11,A01
200900000135,7,0,2,8,23,A01
200900000135,7,0,2,2,17,Z01
200900000136,31,0,2,2,1,B01
200900000136,7,0,2,2,15,A01
200900000137,7,0,1,2,1,Z01
200900000138,7,0,1,2,9,A01
200900000139,7,0,1,1,15,A01
200900000140,7,0,1,2,1,A01
200900000141,2,0,2,1,1,B01
200900000141,37,0,2,3,17,A01
200900000142,33,0,2,5,1,B01
200900000142,7,0,2,8,13,A01
200900000143,7,0,2,2,1,C01
200900000143,7,0,2,7,14,A01
200900000143,33,0,2,3,1,B01
200900000144,7,0,2,5,2,B01
200900000144,7,0,2,6,2,C01
200900000144,7,5,2,1,13,A01
200900000145,7,0,0,8,1,A01
200900000146,31,0,2,8,18,A01
200900000146,10,0,2,2,16,B01
200900000147,7,0,2,8,11,A01
200900000147,31,4,2,7,1,B01
200900000148,7,0,1,1,1,A01
200900000149,33,0,2,1,3,C01
200900000149,7,0,2,5,12,A01
200900000149,32,0,2,1,3,B01
200900000150,7,0,2,1,2,A01
200900000150,7,0,2,4,2,B01
200900000151,7,0,2,0,2,Z01
200900000151,7,0,2,8,2,B01
200900000151,7,0,2,8,2,A01
200900000152,10,2,0,1,14,A01
200900000153,7,0,2,4,2,B01
200900000153,7,0,2,1,2,A01
200900000154,10,0,2,7,16,A01
200900000154,2,0,2,8,16,B01
200900000155,31,0,0,0,1,A01
200900000156,7,0,2,1,15,A01
200900000156,7,0,2,3,1,B01
200900000157,34,0,1,1,1,A01
200900000158,7,0,2,2,12,A01
200900000158,32,0,2,4,23,B01
200900000159,14,0,2,3,11,A01
200900000159,33,0,2,2,17,B01
200900000160,1,0,1,1,7,A01
200900000161,10,0,2,6,2,B01
200900000161,30,0,2,1,2,A01
200900000162,30,0,2,7,1,B01
200900000162,7,0,2,2,1,A01
200900000163,32,1,2,2,17,A01
200900000163,7,0,2,3,15,B01
200900000164,7,0,2,3,1,A01
200900000164,7,0,2,1,1,B01
200900000165,10,0,2,1,2,B01
200900000165,32,0,2,0,21,A01
200900000166,7,0,1,2,15,A01
200900000167,7,0,2,6,22,A01
200900000167,1,0,2,1,17,B01
200900000168,7,0,2,1,1,A01
200900000168,7,0,2,8,1,B01
200900000169,1,1,0,7,1,B01
200900000169,7,0,2,3,22,A01
200900000170,2,0,2,1,17,A01
200900000170,32,0,2,3,1,B01
200900000171,1,0,0,0,1,A01
200900000172,30,0,0,8,21,A01
200900000173,7,0,1,6,4,Z01
200900000174,30,0,2,6,13,B01
200900000174,33,0,2,2,1,A01
200900000175,7,0,1,5,7,A01
200900000176,2,5,0,8,13,A01
200900000177,7,0,2,8,23,C01
200900000177,33,0,2,8,3,A01
200900000177,15,0,2,7,1,B01
200900000178,7,0,2,6,16,B01
200900000178,37,0,2,2,7,A01
200900000179,7,0,2,7,15,A01
200900000179,30,0,2,1,1,B01
200900000180,7,0,1,3,7,Z01
200900000181,7,0,1,1,1,A01
200900000182,31,0,2,8,1,A01
200900000182,1,0,2,3,11,B01
200900000183,7,14,0,1,1,A01
200900000184,30,12,0,2,14,A01
200900000185,7,0,1,0,1,Z01
200900000186,10,0,1,4,4,A01
200900000187,7,0,2,6,24,B01
200900000187,7,0,2,1,14,A01
200900000188,32,0,2,2,1,B01
200900000188,7,0,2,3,10,A01
200900000189,10,0,2,1,1,A01
200900000189,7,0,2,8,1,B01
200900000189,2,0,2,0,1,C01
200900000190,7,0,1,6,4,A01
200900000191,2,1,0,7,21,A01
200900000192,30,0,2,7,17,B01
200900000192,7,0,2,3,15,A01
200900000193,32,0,2,3,13,A01
200900000193,32,0,2,2,1,B01
200900000194,30,0,1,1,1,A01
200900000195,33,1,2,7,1,A01
200900000195,10,0,2,8,11,B01
200900000196,30,0,1,1,1,A01
200900000197,7,0,2,3,11,A01
200900000197,31,0,2,1,3,B01
200900000198,32,12,0,0,14,A01
200900000199,7,0,1,1,1,A01
200900000200,1,0,2,1,1,B01
200900000200,7,0,2,8,22,A01
200900000201,33,0,0,7,1,A01
200900000202,30,0,2,1,1,A01
200900000202,1,0,2,2,15,B01
200900000203,31,0,1,7,21,A01
200900000204,15,6,0,1,1,A01
200900000205,1,0,2,1,1,A01
200900000205,7,0,2,5,9,B01
200900000206,34,0,2,1,17,B01
200900000206,7,0,2,3,15,A01
200900000207,7,0,2,3,11,A01
200900000207,33,0,2,7,1,B01
200900000208,7,1,0,1,14,A01
200900000209,34,0,2,8,1,B01
200900000209,7,0,2,1,1,A01
200900000210,32,0,2,1,1,B01
200900000210,7,0,2,5,1,A01
200900000211,32,0,0,0,1,A01
200900000212,7,0,1,3,1,Z01
200900000213,33,0,2,1,1,A01
200900000213,7,0,2,8,11,Z01
200900000214,7,0,1,4,24,A01
200900000215,37,0,2,4,23,B01
200900000215,31,0,2,8,14,A01
200900000216,7,7,0,1,13,A01
200900000217,37,0,2,3,10,B01
200900000217,1,0,2,8,1,A01
200900000218,7,0,1,2,15,A01
200900000219,33,0,0,8,1,A01
200900000220,7,0,2,2,16,B01
200900000220,31,0,2,3,18,A01
200900000221,7,0,2,1,17,A01
200900000221,14,0,2,3,15,B01
200900000222,2,0,0,7,1,A01
200900000223,7,15,0,1,14,A01
200900000224,7,0,2,0,16,Z01
200900000224,37,0,2,3,1,A01
200900000225,2,0,2,1,1,B01
200900000225,7,0,2,7,1,A01
200900000226,7,0,2,3,1,B01
200900000226,33,0,2,5,12,A01
200900000227,1,0,2,3,15,B01
200900000227,32,0,2,3,17,A01
200900000228,33,0,2,7,5,A01
200900000228,1,0,2,7,1,B01
200900000229,10,0,2,5,2,B01
200900000229,7,0,2,3,1,C01
200900000229,34,0,2,1,2,A01
200900000230,2,0,2,1,5,A01
200900000230,7,0,2,1,15,B01
200900000231,30,0,0,0,1,A01
200900000232,7,0,2,3,11,A01
200900000232,32,0,2,2,3,C01
200900000232,32,0,2,5,3,B01
200900000233,7,0,2,8,22,A01
200900000233,1,0,2,7,1,B01
200900000234,33,1,0,1,21,A01
200900000235,7,0,2,8,1,C01
200900000235,33,0,2,3,3,A01
200900000235,7,0,2,5,14,B01
200900000236,30,0,2,1,2,A01
200900000236,7,0,2,2,2,B01
200900000237,33,1,2,7,1,B01
200900000237,7,0,2,8,11,A01
200900000238,32,11,0,7,17,A01
200900000239,7,0,1,1,1,A01
200900000240,30,0,1,7,1,A01
200900000241,7,0,1,2,1,A01
200900000242,7,0,2,2,1,B01
200900000242,2,0,2,5,9,A01
200900000243,33,11,0,3,17,A01
200900000244,32,0,0,0,21,A01
200900000245,7,0,2,3,9,A01
200900000245,7,0,2,2,1,B01
200900000246,7,0,2,3,9,A01
200900000246,30,0,2,7,1,B01
200900000247,7,0,2,2,1,B01
200900000247,7,4,2,6,17,A01
200900000248,32,0,2,2,2,B01
200900000248,10,0,2,3,10,A01
200900000249,30,0,2,1,1,B01
200900000249,7,0,2,3,1,A01
200900000250,37,0,2,3,1,B01
200900000250,7,0,2,3,13,A01
200900000251,32,0,0,7,16,A01
200900000252,2,0,0,0,15,A01
200900000253,7,0,1,7,7,A01
200900000254,7,0,2,5,2,B01
200900000254,31,0,2,1,2,A01
200900000255,1,0,2,2,1,A01
200900000255,7,0,2,3,1,B01
200900000256,32,0,2,2,17,B01
200900000256,7,0,2,3,10,A01
200900000257,31,9,2,1,14,A01
200900000258,7,0,2,4,2,B01
200900000258,7,0,2,4,2,D01
200900000258,7,0,2,1,2,A01
200900000258,7,0,2,4,2,C01
200900000259,7,0,1,1,15,Z01
